region,subregion,year,forecast_stunting,slope_pp_per_year,trend_r2
Southwest,Ndian,2026,17.964034227649563,-0.8015865941706035,0.9797847393612197
Southwest,Ndian,2028,16.360861039308247,-0.8015865941706035,0.9797847393612197
Southwest,Southwest,2026,27.314292074799653,-0.20906055209260901,0.39173303896837
Southwest,Southwest,2028,26.896170970614435,-0.20906055209260901,0.39173303896837
West,Bamboutos,2026,17.47464123362147,-0.7890988501648988,0.9744147511625827
West,Bamboutos,2028,15.896443533291631,-0.7890988501648988,0.9744147511625827
West,Haut-Nkam,2026,17.35112178387658,-0.836360205831904,0.9671359259507897
West,Haut-Nkam,2028,15.678401372212875,-0.836360205831904,0.9671359259507897
West,Hauts-Plateaux,2026,15.28885386819502,-0.849054441260745,0.9795456555134842
West,Hauts-Plateaux,2028,13.59074498567361,-0.849054441260745,0.9795456555134842
West,Koung-Khi,2026,18.922241667537264,-0.8266560443004911,0.9640304700514267
West,Koung-Khi,2028,17.268929578936195,-0.8266560443004911,0.9640304700514267
